metric,target,spearman_rho,p_value,n
explanatory_risk_averse,explanatory_mean_return,0.29035914241873195,2.6354281472665493e-08,354
explanatory_risk_averse,holding_1y_mean_return,-0.4256813169795167,5.1614141474661665e-17,354
explanatory_risk_averse,holding_2y_mean_return,-0.3646714009509595,1.4172941832538706e-12,354
predictive_risk_averse,explanatory_mean_return,0.25437010597700577,1.2408013156040974e-06,354
predictive_risk_averse,holding_1y_mean_return,-0.42271712572453013,8.914888010570079e-17,354
predictive_risk_averse,holding_2y_mean_return,-0.3608107568926306,2.5259365054225094e-12,354
explanatory_prospect_theory,explanatory_mean_return,0.5715694078041978,4.3099229911178695e-32,354
explanatory_prospect_theory,holding_1y_mean_return,-0.3461788834509917,2.1053997626350493e-11,354
explanatory_prospect_theory,holding_2y_mean_return,-0.28651554016082864,4.084653247143531e-08,354
predictive_prospect_theory,explanatory_mean_return,0.5064873129882189,1.8311949187414142e-24,354
predictive_prospect_theory,holding_1y_mean_return,-0.34597573436972734,2.1666493953054715e-11,354
predictive_prospect_theory,holding_2y_mean_return,-0.2866805480697118,4.009070910831521e-08,354
explanatory_risk_neutral,explanatory_mean_return,0.9239029510041475,6.302249172654328e-149,354
explanatory_risk_neutral,holding_1y_mean_return,0.13403281358096242,0.011593128747174416,354
explanatory_risk_neutral,holding_2y_mean_return,0.12625823602487835,0.017470609628429615,354
predictive_risk_neutral,explanatory_mean_return,0.8917307368482273,3.0058227917083523e-123,354
predictive_risk_neutral,holding_1y_mean_return,0.1273318694516936,0.01652874261780898,354
predictive_risk_neutral,holding_2y_mean_return,0.12484322558001294,0.018783316811975852,354
explanatory_risk_seeking,explanatory_mean_return,0.6994207816641048,2.7295311108766315e-53,354
explanatory_risk_seeking,holding_1y_mean_return,0.2771950278518473,1.150534253590427e-07,354
explanatory_risk_seeking,holding_2y_mean_return,0.24242867296446854,3.947117830987122e-06,354
predictive_risk_seeking,explanatory_mean_return,0.702523200855877,6.033509779970265e-54,354
predictive_risk_seeking,holding_1y_mean_return,0.27760349005252527,1.1003609357726701e-07,354
predictive_risk_seeking,holding_2y_mean_return,0.24617570501995992,2.762611654906416e-06,354
sharpe,holding_1y_mean_return,-0.30380485244979266,5.401429293443179e-09,354
sharpe,holding_2y_mean_return,-0.250406399601817,1.8337999184871948e-06,354
