ticker,n_obs,rho,sharpe,explanatory_mean_return,explanatory_risk_averse,predictive_risk_averse,explanatory_prospect_theory,predictive_prospect_theory,explanatory_risk_neutral,predictive_risk_neutral,explanatory_risk_seeking,predictive_risk_seeking
MMM,131,-0.11800964556783437,0.09996194833895275,0.006340606325798508,6.1036823845678265,5.383388989706344,3.1770016980514164,2.802084853695961,0.5703291143384775,0.503024777698377,0.047966850373522364,0.042306299361937645
AOS,131,-0.01925592975001581,0.0754050654822556,0.008383420047933153,4.565777458442955,4.477859168448973,2.81159042231869,2.757450634660704,0.7831983358488879,0.7681171237134524,0.1128135650824183,0.11064123499834241
ABT,131,-0.05462594814882969,0.12784565555314242,0.00788248649298486,6.421907981116227,6.071105168723217,3.420903919701904,3.2340337995621393,0.6314435403827191,0.5969503382868593,0.04308436618490679,0.04073084183166488
ADBE,131,0.028347272802914297,0.147441659410764,0.022423186688448674,5.469800882058576,5.31474694427724,3.4735082609307497,3.3750437746749693,1.070491774906093,1.040146252529554,0.24146349640118345,0.23461866479675358
AMD,131,0.12496055706440494,0.04805066768192806,0.010294594551307058,3.052695530985122,2.6712289968852017,2.145540877983882,1.8774328946665637,0.896836421160831,0.7847672423769263,0.27848903570903755,0.24368889067050728
AES,131,-0.01952588202283082,0.06471397963602268,0.011889401444479565,4.1926899145338545,4.110823945904354,2.6665473246532994,2.6144806361838238,0.8835943723586219,0.8663414128879102,0.24162566663654533,0.2369077123761123
AFL,131,-0.14816527844458038,0.16226576620044494,0.013601507142986044,6.322928867925587,5.386090351624117,3.6088234922089084,3.0741211546284326,0.8265489178816067,0.7040830673156118,0.09163781350620936,0.07806027135200932
A,109,-0.07351934991174139,0.029057377041792492,0.0049829702597239765,3.4621036729249113,3.2075720615644197,2.287110740431512,2.1189638456188256,0.8212768940739755,0.7608971507241228,0.24747443219676235,0.22928027282187907
APD,131,0.019022761651677433,0.08240800941514902,0.006836353920479081,5.700065888901573,5.591634894098142,3.140718974755306,3.080973826283635,0.6479798826929396,0.6356535158293899,0.07113997911993082,0.06978670025322707
AKAM,110,0.12202890411972035,0.05850404660966195,0.016913188737198343,2.6971731644916814,2.3680400790076432,2.0010795120815033,1.7568899721657727,1.0073391520176345,0.8844146592200341,0.4872423051271368,0.4277846605917059
ALB,131,-0.0889646146530011,0.12168169508939095,0.011568116772933689,5.930328064146563,5.402738713153886,3.4169775628706764,3.112987470711936,0.8033460694964674,0.7318766959907111,0.09817018587277455,0.08943651311618968
ARE,131,-0.03656016157360931,0.14781029509119353,0.011441035204187997,7.147720665519673,6.886398843105248,3.8698163331486355,3.728335222748529,0.7533355810847013,0.7257935105210958,0.07464704575377594,0.07191793770002529
LNT,131,-0.016462208229410528,0.09268421913400048,0.00557160644397886,5.79758442619893,5.702143384147256,3.106811896969536,3.0556669125920135,0.5626132927371577,0.5533514355594842,0.03606395861977309,0.03547026622339754
ALL,131,-0.1325037976117328,0.04323657540651806,0.0037587103751253697,5.0556580114184335,4.38576412547931,2.777810940535678,2.409740441867281,0.587013354783401,0.5092318560257969,0.06629904970679744,0.057514173842597736
MO,131,0.09582589532196988,0.13423583973541892,0.011411803475557042,6.479198868626487,5.858323836071261,3.5982728242980277,3.253465109296956,0.7805775387039741,0.7057779971894462,0.08714416421043873,0.07879349665288868
AMZN,131,0.09301364629967024,0.1770693822083881,0.038982512952803305,4.871208254094907,4.418119412496489,3.308623438589883,3.000876308334085,1.325439392147264,1.2021554413344284,0.5028656504191701,0.45609228267482776
AEE,131,-0.020028042544450408,0.10694149393899702,0.005575712647173852,5.657867490523981,5.544551479712903,2.9681964923372903,2.9087493267084703,0.502345669123581,0.49228466869035353,0.03167605160372156,0.03104164229456202
AEP,131,0.09586376730294315,0.05338189304371266,0.00358007776910498,5.213424425516763,4.713645919537544,2.860925209016418,2.5866661405081444,0.5545780775097624,0.501414133736053,0.04321224966575701,0.0390697606191622
AXP,131,0.1831941308856424,0.025182335769169867,0.001991334639039283,5.375638515973387,4.390853090084258,2.804142970464759,2.2904404361113837,0.4771563615656196,0.38974411661205055,0.02697587639690748,0.0220340541654975
AIG,131,0.3045563875909026,-0.10487162794770835,-0.011996067685899593,3.3019602020196093,2.2963271309235904,1.7441794286053247,1.2129784425189225,0.324376621421033,0.22558564938210143,0.02582134392566326,0.017957288696920964
AMT,130,-0.10427151251875814,0.10117228075674624,0.022226737110554513,4.155467187493206,3.7221703386312193,2.7415059436614966,2.455644972336747,1.0638249314330706,0.9528982967773801,0.5709575911137543,0.5114229795042565
AME,131,-0.07920482729621485,0.1645695560198656,0.014013300669040772,6.954899492830055,6.404037879637919,3.9462795329793456,3.6337151441071294,0.8520617975278547,0.7845743900089587,0.0792065130005869,0.07293297481764002
AMGN,131,-0.02999991642981213,0.16327108602232573,0.016590068048136446,5.865240366065677,5.689283645242946,3.519213796283781,3.4136376764966254,0.9383062429819345,0.9101571341069055,0.14711266249397742,0.14269929491339095
APH,131,-0.1759269219345549,0.14144624775760584,0.018024788756175705,5.860262369045558,4.82928444873047,3.56587006551955,2.938537520874126,0.9810088647934541,0.8084229948198297,0.15025509116108476,0.12382117546811917
ADI,131,-0.08507924904458093,0.09357471756648775,0.015512546460724596,4.170628616660564,3.815794665911244,2.70944820128315,2.4789303829927887,0.9398461853199608,0.8598847776555244,0.2539816392485087,0.23237307211013392
AON,131,-0.17757921898162468,0.08469124043443838,0.008829300315033492,5.0367789235574865,4.14235165612904,2.963653880562235,2.437370539120132,0.7513784421155328,0.6179492452050267,0.11033922285196936,0.09074526983487721
APA,131,-0.13753612752239264,0.1748017443198837,0.01886376525623452,6.05126718717772,5.218999331649974,3.70456562241227,3.195054012553104,1.0000334342652022,0.862492708323447,0.1429069129671634,0.12325204956148016
AAPL,131,0.01117831896168695,0.2304227038210244,0.034922023005055695,6.240598128961175,6.17083873256394,4.113593140000632,4.067610083803098,1.3328150104981453,1.3179163791938728,0.2297660354904124,0.2271976374591383
AMAT,131,-0.011279286081595825,0.08098655596506119,0.011112854183362856,4.542439247932225,4.491203776146529,2.8339405107331377,2.801975684974355,0.8478950442470745,0.8383313934758444,0.15742200213593974,0.1556463943383109
ACGL,131,-0.11279126591907183,0.16463609222192427,0.010888862268323534,6.235554036693458,5.532238003188024,3.44852016247242,3.0595572077997124,0.718113872128109,0.6371168994167331,0.083185316371376,0.07380273923197
ADM,131,0.09393418029309102,0.1008858171017082,0.009387755553437339,4.945963493264383,4.481368466765041,2.9453791545146117,2.6687073779829245,0.7624958716491584,0.6908714469689289,0.11170175892717858,0.1012091457650576
AJG,131,-0.06376828945772539,0.17807701555395275,0.013387378473479636,6.5919824075873175,6.171622965320056,3.7263923621425823,3.488766695360417,0.8149527246684899,0.7629845834274677,0.08648247005992962,0.08096763087612896
T,131,-0.0892109599915532,0.06181084852446764,0.0051264819518981085,4.876773556579741,4.441711905935842,2.807152583420471,2.556723806610762,0.6292318738837686,0.5730974943573136,0.06227243859190613,0.05671705456410714
ATO,131,-0.008884994190795175,0.07595931870776172,0.004084834312607995,5.1210328026126986,5.075532455910613,2.695925374366862,2.671972093076795,0.4819469085296047,0.4776648130470475,0.03643831009815232,0.03611455592460785
ADSK,131,0.010112324771565432,0.11266252705645392,0.01677539140683033,4.7615632509325065,4.713412776918726,3.0611218339072983,3.0301667757574977,0.9621178469634972,0.9523885988264831,0.1933841718635025,0.19142860831193856
ADP,131,-0.09115497621356365,0.09146398456813035,0.006584454459070241,5.432440124127927,4.937246173831437,2.9871019996081674,2.7148127878863964,0.607982984330904,0.5525623098559691,0.05202744967693462,0.04728488873918127
AZO,131,-0.1239662614596959,0.18178864582997184,0.016697718435005525,6.705499099502941,5.874243444916203,3.919892324598029,3.4339579277930543,0.9379226458132153,0.8216518818733645,0.10724133521308729,0.09394702781277482
AVB,131,0.018228502639867274,0.15679620425480503,0.009934253159026876,7.135821178926747,7.00574584372906,3.789932886968397,3.7208480853333734,0.6778112089103043,0.6654557254993512,0.043341398061784865,0.04255134927280008
AVY,131,-0.12677119158718103,0.033212590873237156,0.002519376314429237,5.124892891865619,4.47520411320714,2.7863922690656158,2.4331580008868587,0.5503484622177438,0.48058013187422777,0.04225047571206673,0.03689433256092278
BKR,131,0.16525465582491763,0.05415785966888036,0.005984268178805044,4.751114244518482,3.965970495255717,2.813804864429805,2.3488105099999785,0.7206313983063608,0.6015437046026141,0.09804562685767682,0.08184313053617313
BALL,131,-0.010136676882884953,0.2067629920330525,0.016762149299790124,7.461169369587707,7.385537906519717,4.2464682351529595,4.203423158759779,0.9340720853629622,0.9246036984483152,0.08938824654861843,0.08848214677622743
BAC,131,-0.09145773327382153,0.024618367113149676,0.0022735754497748466,4.428589369442466,4.023560624112715,2.5237083324783165,2.2928956889455936,0.5659520777932692,0.5141913836166873,0.06708724143539264,0.06095159440211803
BAX,131,-0.16534586085250486,0.12628695364918918,0.009891484843591595,6.763084357098418,5.64483635205587,3.7115931169036602,3.097896557854993,0.7195399296361426,0.6005669805527037,0.05680859666773663,0.04741553034788698
BDX,131,-0.1914785532159691,0.1305701998389703,0.009711017340234628,6.185749098977524,5.001310810948324,3.438061748643655,2.7797466591462032,0.7179190551917581,0.5804529531774648,0.06947527765359315,0.05617225200420539
BRK-B,131,0.04572154334053376,0.11128469086919617,0.006809375792469173,5.766703854586004,5.503041254366527,3.087019760800954,2.945876453014409,0.5733521903289992,0.5471376433094819,0.043462298421734824,0.04147513506076626
BBY,131,0.004208209060914861,0.15472447485493462,0.026441635198005388,4.968947838924676,4.9480374676057,3.2436553124562097,3.2300053327798466,1.1397404348962121,1.1349441688709907,0.29972101806006163,0.29845972935611464
TECH,131,0.08744736786868232,0.1842001835963791,0.021531796076287225,6.070201073290015,5.539377966997153,3.6867116743445596,3.364318442332385,1.0730969998208453,0.9792574917187324,0.21730308971642956,0.19830050649099565
BIIB,131,0.10095575612014056,0.1668704194038777,0.02904683136755977,5.189047595392538,4.665183371856288,3.390255348296929,3.047989556169262,1.188858301883352,1.068836213097012,0.32401333533611554,0.29130232407424933
BLK,110,-0.23223476006130395,0.2567376250897167,0.02565720916355118,7.556800259772623,5.801848564613128,4.638022988377735,3.5609128325130195,1.2931647107012052,0.9928469143917653,0.19659266037870687,0.15093701106584448
