metric,target,spearman_rho,p_value,n,window,n_stocks
explanatory_risk_averse,explanatory_mean_return,0.6113843424977828,1.8238843417725772e-17,157,1978-1989,157
explanatory_risk_averse,holding_1y_mean_return,0.11490706342758267,0.15185009668259158,157,1978-1989,157
explanatory_risk_averse,holding_2y_mean_return,0.11325423749837199,0.15786762001145443,157,1978-1989,157
predictive_risk_averse,explanatory_mean_return,0.5851872065691303,8.383066126066594e-16,157,1978-1989,157
predictive_risk_averse,holding_1y_mean_return,0.13857689516804247,0.0834786733657177,157,1978-1989,157
predictive_risk_averse,holding_2y_mean_return,0.12057256619056184,0.13253235868513447,157,1978-1989,157
explanatory_prospect_theory,explanatory_mean_return,0.7952697548359888,1.6429504936476525e-35,157,1978-1989,157
explanatory_prospect_theory,holding_1y_mean_return,0.08864790776425059,0.2695696664526942,157,1978-1989,157
explanatory_prospect_theory,holding_2y_mean_return,0.08780754035934234,0.2741536905800784,157,1978-1989,157
predictive_prospect_theory,explanatory_mean_return,0.741973095839096,1.0428072414086417e-28,157,1978-1989,157
predictive_prospect_theory,holding_1y_mean_return,0.11012534188378742,0.16974618942046815,157,1978-1989,157
predictive_prospect_theory,holding_2y_mean_return,0.09276911913370836,0.24784529874752437,157,1978-1989,157
explanatory_risk_neutral,explanatory_mean_return,0.9139073053045479,1.4235924436830668e-62,157,1978-1989,157
explanatory_risk_neutral,holding_1y_mean_return,-0.006989624098388107,0.9307661506558983,157,1978-1989,157
explanatory_risk_neutral,holding_2y_mean_return,-0.003625053492021161,0.9640603081911896,157,1978-1989,157
predictive_risk_neutral,explanatory_mean_return,0.8715416245449303,7.752876691957694e-50,157,1978-1989,157
predictive_risk_neutral,holding_1y_mean_return,0.006239185308765249,0.9381837879430055,157,1978-1989,157
predictive_risk_neutral,holding_2y_mean_return,0.004356886361240146,0.9568111648195097,157,1978-1989,157
explanatory_risk_seeking,explanatory_mean_return,0.6587271069654365,6.788559053137655e-21,157,1978-1989,157
explanatory_risk_seeking,holding_1y_mean_return,-0.0316114587661794,0.6943021264273375,157,1978-1989,157
explanatory_risk_seeking,holding_2y_mean_return,-0.06251899354374561,0.43665027038455795,157,1978-1989,157
predictive_risk_seeking,explanatory_mean_return,0.6555516965498421,1.2051646719609592e-20,157,1978-1989,157
predictive_risk_seeking,holding_1y_mean_return,-0.020410694683048146,0.799705686114301,157,1978-1989,157
predictive_risk_seeking,holding_2y_mean_return,-0.05576814542387388,0.48785215015029015,157,1978-1989,157
sharpe,holding_1y_mean_return,0.1337424568497696,0.09493765849665228,157,1978-1989,157
sharpe,holding_2y_mean_return,0.17332965349574234,0.029937335801080284,157,1978-1989,157
explanatory_risk_averse,explanatory_mean_return,0.4478376287753595,3.4374885303869096e-13,239,1988-1999,239
