window,investor,lag,method,form,base_corr,adjusted_corr,delta
1978-1989,risk_averse,1,correlation,linear,0.11490706342758267,0.13857689516804247,0.023669831740459807
1978-1989,risk_averse,1,correlation,squared,0.11490706342758267,0.12043612277426677,0.005529059346684101
1978-1989,risk_averse,1,covariance,linear,0.11490706342758267,0.1157753397130967,0.0008682762855140302
1978-1989,risk_averse,1,covariance,squared,0.11490706342758267,0.11490706342758267,0.0
1978-1989,risk_averse,2,correlation,linear,0.11490706342758267,0.1012100050235985,-0.013697058403984164
1978-1989,risk_averse,2,correlation,squared,0.11490706342758267,0.11292243191783627,-0.0019846315097463985
1978-1989,risk_averse,2,covariance,linear,0.11490706342758267,0.11697232059241251,0.002065257164829845
1978-1989,risk_averse,2,covariance,squared,0.11490706342758267,0.11490706342758267,0.0
1978-1989,risk_averse,3,correlation,linear,0.11490706342758267,0.086545438758613,-0.028361624668969673
1978-1989,risk_averse,3,correlation,squared,0.11490706342758267,0.11203244872518436,-0.0028746147023983037
1978-1989,risk_averse,3,covariance,linear,0.11490706342758267,0.11426515917364906,-0.000641904253933609
1978-1989,risk_averse,3,covariance,squared,0.11490706342758267,0.11490706342758267,0.0
1978-1989,prospect_theory,1,correlation,linear,0.08864790776425059,0.11012534188378742,0.02147743411953683
1978-1989,prospect_theory,1,correlation,squared,0.08864790776425059,0.09486538616587797,0.006217478401627383
1978-1989,prospect_theory,1,covariance,linear,0.08864790776425059,0.09001854390066918,0.0013706361364185932
1978-1989,prospect_theory,1,covariance,squared,0.08864790776425059,0.08864790776425059,0.0
1978-1989,prospect_theory,2,correlation,linear,0.08864790776425059,0.056872096701170306,-0.031775811063080285
1978-1989,prospect_theory,2,correlation,squared,0.08864790776425059,0.08557172892414366,-0.0030761788401069273
1978-1989,prospect_theory,2,covariance,linear,0.08864790776425059,0.08924329721717451,0.0005953894529239223
1978-1989,prospect_theory,2,covariance,squared,0.08864790776425059,0.08864790776425059,0.0
1978-1989,prospect_theory,3,correlation,linear,0.08864790776425059,0.050713537047488516,-0.037934370716762075
1978-1989,prospect_theory,3,correlation,squared,0.08864790776425059,0.085230620383406,-0.003417287380844597
1978-1989,prospect_theory,3,covariance,linear,0.08864790776425059,0.08986349456397025,0.0012155867997196562
1978-1989,prospect_theory,3,covariance,squared,0.08864790776425059,0.08864790776425059,0.0
1978-1989,risk_neutral,1,correlation,linear,-0.006989624098388107,0.006239185308765249,0.013228809407153357
1978-1989,risk_neutral,1,correlation,squared,-0.006989624098388107,-0.0004651480100968128,0.006524476088291295
1978-1989,risk_neutral,1,covariance,linear,-0.006989624098388107,-0.006753949106605723,0.00023567499178238447
1978-1989,risk_neutral,1,covariance,squared,-0.006989624098388107,-0.006989624098388107,0.0
1978-1989,risk_neutral,2,correlation,linear,-0.006989624098388107,-0.024916428407519273,-0.017926804309131166
1978-1989,risk_neutral,2,correlation,squared,-0.006989624098388107,-0.007650134272725582,-0.0006605101743374746
1978-1989,risk_neutral,2,covariance,linear,-0.006989624098388107,-0.006183367547553631,0.0008062565508344761
1978-1989,risk_neutral,2,covariance,squared,-0.006989624098388107,-0.006989624098388107,0.0
1978-1989,risk_neutral,3,correlation,linear,-0.006989624098388107,-0.04034383740906357,-0.03335421331067546
1978-1989,risk_neutral,3,correlation,squared,-0.006989624098388107,-0.014574637649700135,-0.007585013551312028
1978-1989,risk_neutral,3,covariance,linear,-0.006989624098388107,-0.0066082027301087205,0.00038142136827938686
1978-1989,risk_neutral,3,covariance,squared,-0.006989624098388107,-0.006989624098388107,0.0
1978-1989,risk_seeking,1,correlation,linear,-0.0316114587661794,-0.020410694683048146,0.011200764083131254
1978-1989,risk_seeking,1,correlation,squared,-0.0316114587661794,-0.0272328654978014,0.0043785932683780004
1978-1989,risk_seeking,1,covariance,linear,-0.0316114587661794,-0.031366480814195075,0.0002449779519843251
1978-1989,risk_seeking,1,covariance,squared,-0.0316114587661794,-0.0316114587661794,0.0
1978-1989,risk_seeking,2,correlation,linear,-0.0316114587661794,-0.032247161046645045,-0.0006357022804656456
1978-1989,risk_seeking,2,correlation,squared,-0.0316114587661794,-0.02949348482687191,0.002117973939307488
1978-1989,risk_seeking,2,covariance,linear,-0.0316114587661794,-0.031456409429480456,0.00015504933669894388
1978-1989,risk_seeking,2,covariance,squared,-0.0316114587661794,-0.0316114587661794,0.0
1978-1989,risk_seeking,3,correlation,linear,-0.0316114587661794,-0.04169276663834432,-0.010081307872164921
1978-1989,risk_seeking,3,correlation,squared,-0.0316114587661794,-0.029552403574817504,0.0020590551913618957
1978-1989,risk_seeking,3,covariance,linear,-0.0316114587661794,-0.03145951041621444,0.00015194834996495876
1978-1989,risk_seeking,3,covariance,squared,-0.0316114587661794,-0.0316114587661794,0.0
1988-1999,risk_averse,1,correlation,linear,-0.11804788861151155,-0.10781969691642347,0.010228191695088082
1988-1999,risk_averse,1,correlation,squared,-0.11804788861151155,-0.11105006856299003,0.006997820048521522
1988-1999,risk_averse,1,covariance,linear,-0.11804788861151155,-0.11782198234942512,0.00022590626208643383
1988-1999,risk_averse,1,covariance,squared,-0.11804788861151155,-0.11804788861151155,0.0
1988-1999,risk_averse,2,correlation,linear,-0.11804788861151155,-0.09642153932702788,0.021626349284483676
1988-1999,risk_averse,2,correlation,squared,-0.11804788861151155,-0.11255757533138777,0.005490313280123782
1988-1999,risk_averse,2,covariance,linear,-0.11804788861151155,-0.11827731092436974,-0.0002294223128581907
1988-1999,risk_averse,2,covariance,squared,-0.11804788861151155,-0.11804788861151155,0.0
1988-1999,risk_averse,3,correlation,linear,-0.11804788861151155,-0.12270489785872507,-0.004657009247213517
1988-1999,risk_averse,3,correlation,squared,-0.11804788861151155,-0.11775341935937553,0.00029446925213602593
1988-1999,risk_averse,3,covariance,linear,-0.11804788861151155,-0.11816391828698004,-0.0001160296754684903
1988-1999,risk_averse,3,covariance,squared,-0.11804788861151155,-0.11804788861151155,0.0
1988-1999,prospect_theory,1,correlation,linear,-0.01365634119756689,-0.00967529271122675,0.003981048486340141
1988-1999,prospect_theory,1,correlation,squared,-0.01365634119756689,-0.0071498892444006885,0.006506451953166202
1988-1999,prospect_theory,1,covariance,linear,-0.01365634119756689,-0.014164410534088111,-0.0005080693365212205
1988-1999,prospect_theory,1,covariance,squared,-0.01365634119756689,-0.01365634119756689,0.0
1988-1999,prospect_theory,2,correlation,linear,-0.01365634119756689,-0.0036839421961253112,0.00997239900144158
1988-1999,prospect_theory,2,correlation,squared,-0.01365634119756689,-0.011192468619246861,0.0024638725783200296
1988-1999,prospect_theory,2,covariance,linear,-0.01365634119756689,-0.014219788333743537,-0.0005634471361766463
1988-1999,prospect_theory,2,covariance,squared,-0.01365634119756689,-0.01365634119756689,0.0
1988-1999,prospect_theory,3,correlation,linear,-0.01365634119756689,-0.011971273865194611,0.0016850673323722792
1988-1999,prospect_theory,3,correlation,squared,-0.01365634119756689,-0.009063499876938223,0.004592841320628668
1988-1999,prospect_theory,3,covariance,linear,-0.01365634119756689,-0.014125733975598605,-0.0004693927780317145
1988-1999,prospect_theory,3,covariance,squared,-0.01365634119756689,-0.01365634119756689,0.0
1988-1999,risk_neutral,1,correlation,linear,0.2158644210822404,0.21953869413874338,0.0036742730565029746
1988-1999,risk_neutral,1,correlation,squared,0.2158644210822404,0.2211622305826096,0.005297809500369177
1988-1999,risk_neutral,1,covariance,linear,0.2158644210822404,0.21611054463626456,0.0002461235540241469
1988-1999,risk_neutral,1,covariance,squared,0.2158644210822404,0.2158644210822404,0.0
1988-1999,risk_neutral,2,correlation,linear,0.2158644210822404,0.21323617313034,-0.00262824795190042
1988-1999,risk_neutral,2,correlation,squared,0.2158644210822404,0.21510759115361625,-0.0007568299286241642
1988-1999,risk_neutral,2,covariance,linear,0.2158644210822404,0.21530448999683552,-0.0005599310854048911
1988-1999,risk_neutral,2,covariance,squared,0.2158644210822404,0.2158644210822404,0.0
1988-1999,risk_neutral,3,correlation,linear,0.2158644210822404,0.2212088182553356,0.005344397173095178
1988-1999,risk_neutral,3,correlation,squared,0.2158644210822404,0.2172093105024436,0.0013448894202031936
1988-1999,risk_neutral,3,covariance,linear,0.2158644210822404,0.2157949790794979,-6.944200274250356e-05
1988-1999,risk_neutral,3,covariance,squared,0.2158644210822404,0.2158644210822404,0.0
1988-1999,risk_seeking,1,correlation,linear,0.26926707921662385,0.2686174888365388,-0.0006495903800850522
1988-1999,risk_seeking,1,correlation,squared,0.26926707921662385,0.2701416968461024,0.0008746176294785468
1988-1999,risk_seeking,1,covariance,linear,0.26926707921662385,0.2691334692872965,-0.0001336099293273718
1988-1999,risk_seeking,1,covariance,squared,0.26926707921662385,0.26926707921662385,0.0
1988-1999,risk_seeking,2,correlation,linear,0.26926707921662385,0.2683687282444358,-0.0008983509721880445
1988-1999,risk_seeking,2,correlation,squared,0.26926707921662385,0.2684812418691326,-0.0007858373474912694
1988-1999,risk_seeking,2,covariance,linear,0.26926707921662385,0.2690200766499068,-0.00024700256671705834
1988-1999,risk_seeking,2,covariance,squared,0.26926707921662385,0.26926707921662385,0.0
1988-1999,risk_seeking,3,correlation,linear,0.26926707921662385,0.2719946556028269,0.0027275763862030233
1988-1999,risk_seeking,3,correlation,squared,0.26926707921662385,0.26940508420941595,0.00013800499279209566
1988-1999,risk_seeking,3,covariance,linear,0.26926707921662385,0.26932421504166515,5.713582504129899e-05
1988-1999,risk_seeking,3,covariance,squared,0.26926707921662385,0.26926707921662385,0.0
1998-2009,risk_averse,1,correlation,linear,-0.4256813169795167,-0.42271712572453013,0.0029641912549865923
1998-2009,risk_averse,1,correlation,squared,-0.4256813169795167,-0.42826085045346746,-0.0025795334739507347
1998-2009,risk_averse,1,covariance,linear,-0.4256813169795167,-0.42623422872665967,-0.0005529117471429479
1998-2009,risk_averse,1,covariance,squared,-0.4256813169795167,-0.4256813169795167,0.0
1998-2009,risk_averse,2,correlation,linear,-0.4256813169795167,-0.3830232559712237,0.042658061008293
1998-2009,risk_averse,2,correlation,squared,-0.4256813169795167,-0.42050493772642095,0.005176379253095775
1998-2009,risk_averse,2,covariance,linear,-0.4256813169795167,-0.4260429818552164,-0.0003616648756996632
1998-2009,risk_averse,2,covariance,squared,-0.4256813169795167,-0.4256813169795167,0.0
1998-2009,risk_averse,3,correlation,linear,-0.4256813169795167,-0.4008779232266891,0.02480339375282764
1998-2009,risk_averse,3,correlation,squared,-0.4256813169795167,-0.42520333505329283,0.0004779819262238916
1998-2009,risk_averse,3,covariance,linear,-0.4256813169795167,-0.4258360457071908,-0.00015472872767408052
1998-2009,risk_averse,3,covariance,squared,-0.4256813169795167,-0.4256813169795167,0.0
1998-2009,prospect_theory,1,correlation,linear,-0.34618348203205884,-0.34597573436972734,0.00020774766233150332
1998-2009,prospect_theory,1,correlation,squared,-0.34618348203205884,-0.35147482581183553,-0.005291343779776692
1998-2009,prospect_theory,1,covariance,linear,-0.34618348203205884,-0.3480518584692,-0.0018683764371411615
1998-2009,prospect_theory,1,covariance,squared,-0.34618348203205884,-0.34615886609811075,2.461593394809114e-05
1998-2009,prospect_theory,2,correlation,linear,-0.34618348203205884,-0.3014014175802402,0.04478206445181865
1998-2009,prospect_theory,2,correlation,squared,-0.34618348203205884,-0.3383742798655862,0.0078092021664726285
1998-2009,prospect_theory,2,covariance,linear,-0.34618348203205884,-0.3471851611904103,-0.0010016791583514761
1998-2009,prospect_theory,2,covariance,squared,-0.34618348203205884,-0.3461788834509917,4.598581067161156e-06
1998-2009,prospect_theory,3,correlation,linear,-0.34618348203205884,-0.3201219706001892,0.026061511431869633
1998-2009,prospect_theory,3,correlation,squared,-0.34618348203205884,-0.34505277209905616,0.0011307099330026826
1998-2009,prospect_theory,3,covariance,linear,-0.34618348203205884,-0.3476455603066713,-0.0014620782746124772
1998-2009,prospect_theory,3,covariance,squared,-0.34618348203205884,-0.34616346467917797,2.0017352880874473e-05
1998-2009,risk_neutral,1,correlation,linear,0.13403281358096242,0.1273318694516936,-0.006700944129268804
1998-2009,risk_neutral,1,correlation,squared,0.13403281358096242,0.13211574628546235,-0.0019170672955000634
1998-2009,risk_neutral,1,covariance,linear,0.13403281358096242,0.1326348449365227,-0.0013979686444397232
1998-2009,risk_neutral,1,covariance,squared,0.13403281358096242,0.13403281358096242,0.0
1998-2009,risk_neutral,2,correlation,linear,0.13403281358096242,0.13043266561485398,-0.0036001479661084412
1998-2009,risk_neutral,2,correlation,squared,0.13403281358096242,0.13471692014090594,0.0006841065599435259
1998-2009,risk_neutral,2,covariance,linear,0.13403281358096242,0.13241627708344464,-0.0016165364975177787
1998-2009,risk_neutral,2,covariance,squared,0.13403281358096242,0.13403281358096242,0.0
1998-2009,risk_neutral,3,correlation,linear,0.13403281358096242,0.1086345798418494,-0.025398233739113013
1998-2009,risk_neutral,3,correlation,squared,0.13403281358096242,0.12767757454604228,-0.006355239034920135
1998-2009,risk_neutral,3,covariance,linear,0.13403281358096242,0.13272816908171073,-0.0013046444992516892
1998-2009,risk_neutral,3,covariance,squared,0.13403281358096242,0.13401171420900687,-2.1099371955546342e-05
1998-2009,risk_seeking,1,correlation,linear,0.2771950278518473,0.27760349005252527,0.00040846220067797256
1998-2009,risk_seeking,1,correlation,squared,0.2771950278518473,0.2758830797238417,-0.0013119481280056133
1998-2009,risk_seeking,1,covariance,linear,0.2771950278518473,0.27701865874268033,-0.0001763691091669628
1998-2009,risk_seeking,1,covariance,squared,0.2771950278518473,0.2771950278518473,0.0
1998-2009,risk_seeking,2,correlation,linear,0.2771950278518473,0.27744443324855267,0.0002494053967053711
1998-2009,risk_seeking,2,correlation,squared,0.2771950278518473,0.27848668812220323,0.0012916602703559321
1998-2009,risk_seeking,2,covariance,linear,0.2771950278518473,0.2770135191520758,-0.0001815086997715154
1998-2009,risk_seeking,2,covariance,squared,0.2771950278518473,0.2771950278518473,0.0
1998-2009,risk_seeking,3,correlation,linear,0.2771950278518473,0.26970691484577514,-0.007488113006072161
1998-2009,risk_seeking,3,correlation,squared,0.2771950278518473,0.27487761349872897,-0.00231741435311833
1998-2009,risk_seeking,3,covariance,linear,0.2771950278518473,0.2771190160118535,-7.601183999378369e-05
1998-2009,risk_seeking,3,covariance,squared,0.2771950278518473,0.2771950278518473,0.0
