window,investor,delta,ci_lo,ci_hi,ci_includes_zero
1978-1989,risk_averse,0.023669831740459807,-0.026738377243343565,0.07413441860433163,True
1978-1989,prospect_theory,0.02147743411953683,-0.04334157807367704,0.08466374374654369,True
1978-1989,risk_neutral,0.013228809407153357,-0.03236227032251573,0.061685252735131764,True
1978-1989,risk_seeking,0.011200764083131254,-0.00760636402856925,0.03211098448960146,True
1988-1999,risk_averse,0.010228191695088082,-0.030489500304363353,0.04816570448881513,True
1988-1999,prospect_theory,0.003981048486340141,-0.035763746273071884,0.04346518983547324,True
1988-1999,risk_neutral,0.0036742730565029746,-0.024496900060048073,0.033160618965030184,True
1988-1999,risk_seeking,-0.0006495903800850522,-0.015442017847905696,0.015994463132579458,True
1998-2009,risk_averse,0.0029641912549865923,-0.026319851100980025,0.031619558269318934,True
1998-2009,prospect_theory,0.00020774766233150332,-0.037211746306690295,0.03615816336657696,True
1998-2009,risk_neutral,-0.006700944129268804,-0.033692821558446266,0.01884577390703781,True
1998-2009,risk_seeking,0.00040846220067797256,-0.012197488367358449,0.012214658359499876,True
