,n_obs,lpm2_downside,variance,upm_lpm_ratio,sharpe
bitcoin,364,0.0005613876932923713,0.0009493612525965682,0.17820325818444582,0.1317773927507124
ethereum,364,0.0013734558914115923,0.004229219140005595,0.883801512176388,0.16581779824865928
ripple,364,0.002027949281206468,0.015484469871061675,1.0935934297615417,0.12288494202276655
litecoin,364,0.0011613807482277884,0.004271173474952438,0.7187385592512321,0.12314701960774159
ethereum-classic,341,0.0026281041212311627,0.03702917432106045,1.1379273231452338,0.08974579871034287
nem,364,0.002074134906644371,0.006915832660219767,0.9027672381650513,0.1269797021803343
dash,364,0.0014967526866188293,0.0038770292571490587,0.8863087696454328,0.17197032392419967
bitshares,364,0.0017878182289623038,0.008293597358581617,1.0552607728474734,0.15865570558473627
monero,364,0.001914411962480739,0.007661573458039672,0.9664573459865504,0.140504720096161
stratis,322,0.0029076055900364565,0.013212428627685827,1.3677257638995535,0.22312332001919016
zcash,244,0.0069601699916176365,0.025890905099405923,0.6660157919172354,0.015899502478619945
neo,294,0.0053343539670051895,0.021724704492221587,1.093880877033339,0.12425010621759439
golem-network-tokens,224,0.0039518663596898205,0.013918420404290513,1.1267956359343372,0.18898059698748218
siacoin,364,0.0022899532849446147,0.008983942535332882,0.9580978529059878,0.12619778410586174
steem,364,0.00437322166866675,0.02732252083185559,1.0536860308978846,0.09321210501479966
waves,364,0.002143600094822759,0.005278409287626494,0.932338979832028,0.15647064626134072
bytecoin-bcn,364,0.005748695188163154,0.06604353450822469,1.3200068121344746,0.10276725933270411
iconomi,273,0.006472100673885275,0.019784866516825105,1.0826929662802975,0.13534924574142537
augur,312,0.004525243739354006,0.012624612856393028,0.8572785876045851,0.08182343629695024
dogecoin,364,0.0012716612589341021,0.004462561756450702,0.730597797996068,0.11823259341877615
stellar,364,0.0025203378868237664,0.013453062845392735,0.9690131675801833,0.10578271659465704
lisk,364,0.0020911669493548536,0.005540556676462366,0.8135386931785891,0.11039301880938626
ardor,271,0.0033875665700102992,0.007271444500235162,0.8312765119557064,0.12073927451313121
gamecredits,364,0.0024715646954680355,0.007942749509139632,1.0525524696735487,0.16418819367732782
tether,364,0.000543399059012839,4.3417630429882365e-05,0.02977895704373882,0.007438017654954439
maidsafecoin,364,0.001595210659971701,0.0033358570223999875,0.7278037175668358,0.11548125090729537
factom,364,0.0021319794421211804,0.005285680219896492,0.8868401751203986,0.13968614477251987
decred,364,0.002857294135001311,0.010257121744381125,0.9723903483835191,0.12114527099421116
nxt,364,0.002165975164581209,0.006738728158155192,0.8490910179805978,0.10729445211213665
digixdao,364,0.0021287655138731787,0.005379303625917952,0.8174598137472983,0.11171767596674648
digibyte,364,0.00283235700454268,0.023702379745803505,1.1726656008041292,0.11886824126948468
firstblood,275,0.003569883854917137,0.018169411019626745,0.9838559294465776,0.1115751070229849
pivx,364,0.005579391303568965,0.021903900167967245,1.3566376686305823,0.188057311409512
singulardtv,270,0.005293562283959206,0.015597159791827044,0.985313050678409,0.12196751742371818
syscoin,364,0.0030013601072194232,0.009057672650718792,0.9800858778744308,0.1319032222329085
lykke,228,0.0011791183980725119,0.001993874382114356,0.6011369246273139,0.2237369943256753
emercoin,364,0.0024427655625368686,0.008585756669508771,0.8044890194889742,0.08186797017989264
ubiq,352,0.0038560911505815306,0.013624014845627449,1.2297622148100897,0.18306956430748517
peercoin,364,0.0015966308235152542,0.004434254961627305,0.727402201819017,0.10285540465896957
leocoin,364,0.00545285853668702,0.0368028417330687,1.0065503198937273,0.06972503703888903
nexus,364,0.004946772338299576,0.016467994029493862,1.1356618136844019,0.14350661490688074
reddcoin,364,0.010642469308829528,0.05531057725327126,1.2828460292084312,0.12167371795419696
synereo,364,0.003461305984560237,0.009798962420354747,0.8987636019220934,0.09781701681256953
obits,362,0.005501860443606673,0.01853636608812362,1.096193982137677,0.1255177764113899
cloakcoin,364,0.009407221702206576,0.07198018274913104,1.412320743948781,0.12788394636246814
monacoin,364,0.0018810151478179226,0.005749113518609641,0.8781343346026905,0.13356672258453026
storjcoin-x,364,0.002683997199548017,0.008174334408744046,0.8594070353161277,0.09776293266010719
verge,364,0.013793287365086691,0.060564265376491254,1.3830502797393962,0.14668909817425108
library-credit,358,0.006276859855912323,0.03916957469118579,1.0082858260512106,0.06850538281733551
viacoin,364,0.004396602271636833,0.017581706260009735,1.215308080118456,0.16156848210245509
namecoin,364,0.002047242030135565,0.008434866910912843,0.8096555850405284,0.09179352140811688
gulden,364,0.003561042967686049,0.011607054270785067,1.0642277124337287,0.14125837516589476
blackcoin,364,0.0018359576815785853,0.0053121589917399575,0.8488301128370227,0.13215395931164275
bitbay,364,0.0038289690500772247,0.014193321453758975,1.1520816519141581,0.15483783849942004
counterparty,364,0.0032730234940521363,0.00938736190471784,0.872463534954815,0.08890834193870276
zcoin,267,0.010060441344958492,0.036810598447735404,1.1826824073307123,0.13657938215275364
omni,364,0.0046830153513344,0.02152258475327532,1.1060199006328186,0.11777357021895782
burst,364,0.00291045777766162,0.01483033368937388,1.1177516963934813,0.13738506706905246
xaurum,364,0.006213184054232683,0.014475216899320117,0.7753435805639897,0.04584473868750836
vertcoin,364,0.003206009547604431,0.01065924393248018,0.99555488913434,0.12599665151541065
quark,364,0.0049585741272378785,0.01668397923458898,1.0629943182451926,0.12032595165134757
gridcoin,364,0.0032322290580727637,0.01707864555632074,0.9929518845290348,0.09891282913083164
blocknet,364,0.0064162397122617685,0.022627797466380092,1.2028513068646127,0.14747800636311081
mooncoin,364,0.06806285582404108,0.9979124548443307,2.73099024586894,0.245861131252257
